logAge   ,Mass,Gmag,BPmag,RPmag
7.50000,8.948000,-5.8630,-5.5040,-6.3730
7.50000,8.950000,-5.8360,-5.4390,-6.3830
7.50000,8.951000,-5.8060,-5.3750,-6.3840
7.50000,8.952000,-5.7600,-5.2860,-6.3740
7.50000,8.953000,-5.7180,-5.2120,-6.3610
7.50000,8.954000,-5.6720,-5.1330,-6.3400
7.50000,8.955000,-5.6240,-5.0580,-6.3140
7.50000,8.955000,-5.5750,-4.9810,-6.2850
7.50000,8.956000,-5.5120,-4.8850,-6.2460
7.50000,8.956000,-5.4370,-4.7730,-6.1960
7.50000,8.958000,-5.3220,-4.6060,-6.1170
7.50000,8.959000,-5.1920,-4.4370,-6.0100
7.50000,8.960000,-5.0810,-4.2940,-5.9190
7.50000,8.961000,-5.0580,-4.2610,-5.9020
7.50000,8.966000,-5.0380,-4.2170,-5.8960
7.50000,8.990000,-4.9850,-4.0370,-5.9100
7.50000,8.995000,-5.0110,-4.0380,-5.9470
7.50000,8.996000,-5.0200,-4.0370,-5.9620
7.50000,8.997000,-5.0410,-4.0290,-5.9950
7.50000,8.998000,-5.0880,-4.0230,-6.0660
7.50000,8.999000,-5.1190,-4.0130,-6.1130
7.50000,8.999000,-5.1230,-4.0080,-6.1200
7.50000,8.999000,-5.1280,-4.0030,-6.1280
7.50000,9.000000,-5.1410,-3.9920,-6.1500
7.50000,9.001000,-5.1770,-3.9640,-6.2090
7.50000,9.001000,-5.2070,-3.9130,-6.2650
7.50000,9.002000,-5.2350,-3.8440,-6.3220
7.50000,9.003000,-5.2540,-3.7710,-6.3660
7.50000,9.004000,-5.2630,-3.6860,-6.3980
7.50000,9.006000,-5.2720,-3.5720,-6.4350
7.50000,9.009000,-5.2340,-3.1000,-6.4750
7.50000,9.020000,-5.1820,-2.7870,-6.4580
7.50000,9.025000,-5.1560,-2.6840,-6.4410
7.50000,9.027000,-5.1600,-2.6970,-6.4440
